deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1875-09-09,1875-09-14,1875-09-14
4,0,0,0,0,2000,0,0,0,0,0,0,0,0.0,0,0,STORMS,1886-08-16,1886-08-21,1886-08-21
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1887-06-17,1887-06-22,1887-06-22
3,0,0,0,0,80,0,0,0,0,0,0,0,0.0,0,0,STORMS,1897-07-10,1897-07-15,1897-07-15
205,0,0,0,0,30000,40000,0,0,0,0,0,0,0.0,0,0,STORMS,1898-09-23,1898-09-28,1898-09-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1901-08-20,1901-08-25,1901-08-25
95,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1955-09-23,1955-09-28,1955-09-28
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1957-09-08,1957-09-13,1957-09-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1970-08-28,1970-09-02,1970-09-02
0,1,0,0,1,2,0,0,0,0,0,0,0,0.0,0,0,STORMS,1979-07-23,1979-07-28,1979-07-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,1979-08-28,1979-09-02,1979-09-02
0,0,0,36,238,208,0,0,680,5206250,12700000,0,0,1548.0,0,0,STORMS,1987-09-21,1987-09-26,1987-09-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2001-08-24,2001-08-29,2001-08-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2001-10-07,2001-10-12,2001-10-12
4,5,0,24,640,178,10000,0,678,15100000,0,7,0,0.0,0,0,STORMS,2002-09-23,2002-09-28,2002-09-28
0,0,0,1,14,0,0,0,0,128000,342000,0,0,0.0,0,0,STORMS,2004-08-15,2004-08-20,2004-08-20
0,0,0,18,533,544,0,0,0,3745000,10000000,0,0,0.0,0,0,STORMS,2005-07-14,2005-07-19,2005-07-19
0,1,0,10,10,0,0,0,0,32600,85500,0,0,0.0,0,0,STORMS,2006-06-13,2006-06-18,2006-06-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2007-08-31,2007-09-05,2007-09-05
0,2,0,127,1437,6302,32000,0,1200,50000000,133000000,3,0,3886.0,4553,49,STORMS,2010-10-29,2010-11-03,2010-11-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,STORMS,2012-08-02,2012-08-07,2012-08-07
