deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,EARTHQUAKES,1987-01-16,1987-01-18,1987-01-19
0,0,0,5,50,0,0,0,10,0.0,0.0,0,0,0.0,0,0.0,STORMS,1987-05-16,1987-05-21,1987-05-21
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,EARTHQUAKES,1988-05-09,1988-05-11,1988-05-12
40,0,0,0,0,0,0,0,0,7000000000.0,0.0,0,0,0.0,0,0.0,STORMS,1988-09-12,1988-09-17,1988-09-17
0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1992-04-21,1992-04-26,1992-04-26
0,0,0,0,0,0,1132,0,0,1000000.0,4000000.0,1,2,0.0,0,0.0,EARTHQUAKES,1993-01-13,1993-01-15,1993-01-16
0,0,0,0,0,0,0,0,0,57000.0,2291580.0,0,0,0.0,0,0.0,STORMS,1993-04-13,1993-04-18,1993-04-18
0,0,0,0,11,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1994-05-20,1994-05-25,1994-05-25
0,0,0,0,0,0,0,0,0,2010162.0,0.0,0,0,0.0,0,0.0,STORMS,1996-05-05,1996-05-10,1996-05-10
0,0,0,0,0,12,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1997-02-27,1997-03-04,1997-03-04
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1998-08-08,1998-08-13,1998-08-13
2,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1998-10-24,1998-10-29,1998-10-29
0,0,0,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2000-01-12,2000-01-17,2000-01-17
0,0,0,0,0,11,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2000-07-29,2000-08-03,2000-08-03
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2001-10-08,2001-10-13,2001-10-13
37,0,0,9486,151162,383661,416149,7072,155333,592520.8999999999,109000123.0,561,240,500.5,125,668.6,STORMS,2004-09-10,2004-09-15,2004-09-15
0,0,0,0,0,0,8321,0,0,0.0,0.0,0,0,0.0,0,1.0,STORMS,2005-05-16,2005-05-21,2005-05-21
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2005-06-16,2005-06-21,2005-06-21
1,0,0,2,50,5,209311,0,0,0.0,0.0,1,0,0.0,0,251.25,STORMS,2005-07-06,2005-07-11,2005-07-11
5,0,0,0,16,5,93803,0,2156,0.0,0.0,0,0,0.0,0,0.0,STORMS,2005-07-16,2005-07-21,2005-07-21
3,13,0,5,8359,5,356833,0,0,288347.1,201139000.0,3,0,0.0,0,1.0,STORMS,2005-10-13,2005-10-18,2005-10-18
6,0,0,3312,39475,93669,137828,0,6076,18021880.5,8821592412.0,518,70,6064.0,0,1.0,STORMS,2007-08-19,2007-08-24,2007-08-24
0,0,0,34,358,0,1146,203,812,0.0,25704000.0,21,0,169.0,80,0.0,STORMS,2007-10-26,2007-10-31,2007-10-31
20,1,0,844,12628,13205,509135,148,3144,43764355.8,6268867730.0,31200082,25000002,3579.0,48885,64590001.0,STORMS,2008-08-28,2008-09-02,2008-09-02
1,0,0,34,1500,112566,112566,34,136,10.0,50.5,4,4,96.0,2552,794.76,STORMS,2008-09-19,2008-09-24,2008-09-24
1,0,0,0,21,0,13660,0,83,1408827.5,102140000.0,2,0,95.0,0,0.0,STORMS,2008-09-28,2008-10-03,2008-10-03
3,0,0,9,353,0,225399,0,227,0.0,784494000.0,55,1,287.0,120384,45.0,STORMS,2010-09-10,2010-09-15,2010-09-15
24,1,0,92,2556,2731,515125,0,505,26188099.549999997,8371946074.0,126,1,3966.0499999999997,167629,127.0004575,STORMS,2010-09-26,2010-10-01,2010-10-01
0,0,0,7,395,37,2269,148,148,0.0,0.0,0,0,0.0,0,0.0,STORMS,2010-10-12,2010-10-17,2010-10-17
1,0,0,567,10065,29446,681017,50,2316,20658441.936,1868589821.34,178,13,3028.0,101838,2.0,STORMS,2012-10-24,2012-10-29,2012-10-29
